
2023/11/12 (16:31:21) | INFO: Logger set to DEBUG
2023/11/12 (16:31:21) | DEBUG: Using locale en_US.UTF-8
2023/11/12 (16:31:21) | INFO: Running on /dev/pts/0
2023/11/12 (16:31:21) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/11/27 (10:14:45) | ===> btop++ v.1.2.13
2023/11/27 (10:14:45) | INFO: Logger set to DEBUG
2023/11/27 (10:14:45) | DEBUG: Using locale en_US.UTF-8
2023/11/27 (10:14:45) | INFO: Running on /dev/pts/0
2023/11/27 (10:14:45) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/11/29 (10:55:37) | ===> btop++ v.1.2.13
2023/11/29 (10:55:37) | INFO: Logger set to DEBUG
2023/11/29 (10:55:37) | DEBUG: Using locale en_US.UTF-8
2023/11/29 (10:55:37) | INFO: Running on /dev/pts/1
2023/11/29 (10:55:37) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/12/15 (15:03:07) | ===> btop++ v.1.2.13
2023/12/15 (15:03:07) | INFO: Logger set to DEBUG
2023/12/15 (15:03:07) | DEBUG: Using locale en_US.UTF-8
2023/12/15 (15:03:07) | INFO: Running on /dev/pts/2
2023/12/15 (15:03:07) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme

2023/12/15 (15:06:27) | ===> btop++ v.1.2.13
2023/12/15 (15:06:27) | INFO: Logger set to DEBUG
2023/12/15 (15:06:27) | DEBUG: Using locale en_US.UTF-8
2023/12/15 (15:06:27) | INFO: Running on /dev/pts/1
2023/12/15 (15:06:27) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
